"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Diffusion 4.nlogo"
"social-influence-experiment"
"07/03/2024 18:41:00:024 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","density","frac-influential","number-of-agents","network","social-influence","broadcast-influence","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with [adopted?]"
"24","0.3","0.3","100","random","0.4","0.2","0.7","7","97","67","30"
"24","0.3","0.3","100","random","0.4","0.2","0.7","8","100","70","30"
"26","0.3","0.3","100","random","0.6","0.2","0.7","1","28","16","12"
"26","0.3","0.3","100","random","0.6","0.2","0.7","2","60","41","19"
"26","0.3","0.3","100","random","0.6","0.2","0.7","3","81","56","25"
"26","0.3","0.3","100","random","0.6","0.2","0.7","4","91","64","27"
"26","0.3","0.3","100","random","0.6","0.2","0.7","5","98","70","28"
"26","0.3","0.3","100","random","0.6","0.2","0.7","6","99","70","29"
"25","0.3","0.3","100","random","0.5","0.2","0.7","1","25","18","7"
"26","0.3","0.3","100","random","0.6","0.2","0.7","7","100","70","30"
"25","0.3","0.3","100","random","0.5","0.2","0.7","2","45","34","11"
"25","0.3","0.3","100","random","0.5","0.2","0.7","3","72","51","21"
"25","0.3","0.3","100","random","0.5","0.2","0.7","4","85","58","27"
"25","0.3","0.3","100","random","0.5","0.2","0.7","5","92","65","27"
"25","0.3","0.3","100","random","0.5","0.2","0.7","6","95","66","29"
"25","0.3","0.3","100","random","0.5","0.2","0.7","7","97","67","30"
"25","0.3","0.3","100","random","0.5","0.2","0.7","8","100","70","30"
"28","0.3","0.3","100","random","0.8","0.2","0.7","0","0","0","0"
"27","0.3","0.3","100","random","0.7","0.2","0.7","0","0","0","0"
"29","0.3","0.3","100","random","0.9","0.2","0.7","0","0","0","0"
"28","0.3","0.3","100","random","0.8","0.2","0.7","1","33","23","10"
"27","0.3","0.3","100","random","0.7","0.2","0.7","1","28","16","12"
"28","0.3","0.3","100","random","0.8","0.2","0.7","2","67","46","21"
"29","0.3","0.3","100","random","0.9","0.2","0.7","1","27","18","9"
"28","0.3","0.3","100","random","0.8","0.2","0.7","3","94","66","28"
"27","0.3","0.3","100","random","0.7","0.2","0.7","2","67","43","24"
"29","0.3","0.3","100","random","0.9","0.2","0.7","2","61","43","18"
"28","0.3","0.3","100","random","0.8","0.2","0.7","4","100","70","30"
"27","0.3","0.3","100","random","0.7","0.2","0.7","3","94","65","29"
